expName,Block_resp_2.rt,ITI.started,Mask_2.started,trials.thisRepN,direction,__session,key_resp_2.rt,FeedbackID_T,block.stopped,Scale_setup.stopped,date,Feedback_Time.started,sex,screen_scale_keys.stopped,TrialType,frameRate,trials.ran,Coherence1,__experimentName,Response.stopped,ITI.stopped,rectangel_keys.started,participant,Block_id,OS,screen_scale_keys.started,key_resp_2.keys,psychopyVersion,rectangel_keys.stopped,age,Y Scale,M2.started,Intro.stopped,Feedback_Time.stopped,trials.thisN,TimeDur,keyDuration,block.started,__participant,Cue.started,M2.stopped,Response.started,X Scale,session,Cue.stopped,trials.thisIndex,__datetime,Intro.started,Scale_setup.started,Mask_2.stopped,Block_resp_2.keys,trials.thisTrialN
﻿Serial_Dependence_U,,1698.361899999976,1697.858199999988,2,181,001,,2,1695.4534999999998,,2025-04-30_21h18.33.942,1700.932199999988,m,,Time,238.09523809622803,1,0.3,SDMT1,1700.932199999988,1698.8613999999761,,048844,2,Win32,,,2023.2.3,,19,,1696.455199999988,,1701.929199999988,139,1.4,1191.4000000059605,1695.4520999999938,048844,1698.8615,1697.858199999988,1699.3616999999879,,001,1699.3616999999879,42,2025-04-30_21h14.19.501,,,1698.361799999982,,31
﻿Serial_Dependence_U,,1704.340799999982,1703.838399999976,2,41,001,,2,1701.929399999976,,2025-04-30_21h18.33.942,1706.5778999999761,m,,Time,238.09523809622803,1,0.3,SDMT1,1706.577799999982,1704.840299999982,,048844,2,Win32,,,2023.2.3,,19,,1702.9338999999761,,1707.575199999988,140,0.9,848.6000000238419,1701.929399999976,048844,1704.840299999982,1703.838299999982,1705.340699999988,,001,1705.340699999988,37,2025-04-30_21h14.19.501,,,1704.3405999999939,,32
﻿Serial_Dependence_U,,1709.982,1709.479599999994,2,131,001,,3,1707.5755,,2025-04-30_21h18.33.942,1712.648899999976,m,,Time,238.09523809622803,1,0.7,SDMT1,1712.648899999976,1710.482,,048844,2,Win32,,,2023.2.3,,19,,1708.575799999982,,1713.646099999994,141,0.9,919.5999999940395,1707.5755,048844,1710.482,1709.4795,1710.982,,001,1710.9818999999761,10,2025-04-30_21h14.19.501,,,1709.982,,33
﻿Serial_Dependence_U,,1716.254,1715.750699999988,2,349,001,,2,1713.6464999999998,,2025-04-30_21h18.33.942,1718.700299999982,m,,Time,238.09523809622803,1,0.3,SDMT1,1718.700299999982,1716.752699999988,,048844,2,Win32,,,2023.2.3,,19,,1714.648899999976,,1719.6985,142,1.1,1012.4000000059605,1713.646299999982,048844,1716.752699999988,1715.750699999988,1717.252799999982,,001,1717.252699999988,39,2025-04-30_21h14.19.501,,,1716.254,,34
﻿Serial_Dependence_U,,1722.604399999976,1722.100399999976,2,346,001,,4,1719.6989999999998,,2025-04-30_21h18.33.942,1725.673199999988,m,,Time,238.09523809622803,1,0.7,SDMT1,1725.6730999999938,1723.1025,,048844,2,Win32,,,2023.2.3,,19,,1720.700199999988,,1726.673299999982,143,1.4,1527.7999999821186,1719.698799999982,048844,1723.102599999994,1722.100299999982,1723.6039999999998,,001,1723.603899999976,33,2025-04-30_21h14.19.501,,,1722.604399999976,,35
﻿Serial_Dependence_U,,1729.683599999994,1729.1789999999999,2,151,001,,4,1726.673599999994,,2025-04-30_21h18.33.942,1733.491599999994,m,,Time,238.09523809622803,1,0.7,SDMT1,1733.4914999999999,1730.1815,,048844,2,Win32,,,2023.2.3,,19,,1727.677299999982,,1734.489599999994,144,1.5,1720.5999999940395,1726.673599999994,048844,1730.1815,1729.1789999999999,1730.6786999999879,,001,1730.6785999999938,52,2025-04-30_21h14.19.501,,,1729.683599999994,,36
﻿Serial_Dependence_U,,1737.302,1736.797799999982,2,104,001,,3,1734.4900999999938,,2025-04-30_21h18.33.942,1739.894799999982,m,,Time,238.09523809622803,1,0.7,SDMT1,1739.894699999988,1737.798199999988,,048844,2,Win32,,,2023.2.3,,19,,1735.493799999982,,1740.8935,145,1.3,1244.6000000238419,1734.4899999999998,048844,1737.798199999988,1736.797799999982,1738.295899999976,,001,1738.295899999976,32,2025-04-30_21h14.19.501,,,1737.301899999976,,37
﻿Serial_Dependence_U,,1743.802899999976,1743.300899999976,2,265,001,,4,1740.893699999988,,2025-04-30_21h18.33.942,1746.771399999976,m,,Time,238.09523809622803,1,0.7,SDMT1,1746.771299999982,1744.302,,048844,2,Win32,,,2023.2.3,,19,,1741.895399999976,,1747.768599999994,146,1.4,1526.0999999940395,1740.893699999988,048844,1744.302,1743.300799999982,1744.801899999976,,001,1744.801899999976,15,2025-04-30_21h14.19.501,,,1743.802799999982,,38
﻿Serial_Dependence_U,,1750.078799999982,1749.576699999988,2,286,001,,4,1747.7690999999938,,2025-04-30_21h18.33.942,1752.436699999988,m,,Time,238.09523809622803,1,0.3,SDMT1,1752.436699999988,1750.5765,,048844,2,Win32,,,2023.2.3,,19,,1748.7724999999998,,1753.436199999988,147,0.8,988.9000000059605,1747.7689999999998,048844,1750.5765,1749.576699999988,1751.076699999988,,001,1751.076599999994,18,2025-04-30_21h14.19.501,,,1750.078799999982,,39
﻿Serial_Dependence_U,,1756.044899999976,1755.540599999994,2,351,001,,4,1753.436399999976,,2025-04-30_21h18.33.942,1758.574199999988,m,,Time,238.09523809622803,1,0.3,SDMT1,1758.574099999994,1756.547299999982,,048844,2,Win32,,,2023.2.3,,19,,1754.438899999976,,1759.572099999994,148,1.1,1169.1000000238419,1753.436299999982,048844,1756.547299999982,1755.540599999994,1757.046699999988,,001,1757.046699999988,3,2025-04-30_21h14.19.501,,,1756.044799999982,,40
﻿Serial_Dependence_U,,1761.887,1761.376399999976,2,347,001,,5,1759.572299999982,,2025-04-30_21h18.33.942,1764.369699999988,m,,Time,238.09523809622803,1,0.3,SDMT1,1764.3695999999939,1762.387,,048844,2,Win32,,,2023.2.3,,19,,1760.574099999994,,1765.368,149,0.8,1125.5,1759.572299999982,048844,1762.387,1761.376399999976,1762.886,,001,1762.886,36,2025-04-30_21h14.19.501,,,1761.886899999976,,41
﻿Serial_Dependence_U,,1768.2743999999761,1767.774199999988,2,335,001,,2,1765.368399999976,,2025-04-30_21h18.33.942,1770.561299999982,m,,Time,238.09523809622803,1,0.3,SDMT1,1770.561199999988,1768.773399999976,,048844,2,Win32,,,2023.2.3,,19,,1766.372199999988,,1771.559399999976,150,1.4,1008.3000000119209,1765.368299999982,048844,1768.773399999976,1767.774199999988,1769.273399999976,,001,1769.273399999976,24,2025-04-30_21h14.19.501,,,1768.2743999999761,,42
﻿Serial_Dependence_U,,1774.364899999976,1773.863399999976,2,216,001,,2,1771.559899999976,,2025-04-30_21h18.33.942,1777.063299999982,m,,Time,238.09523809622803,1,0.3,SDMT1,1777.063299999982,1774.863399999976,,048844,2,Win32,,,2023.2.3,,19,,1772.562,,1778.0635,151,1.3,1207.9000000059605,1771.559799999982,048844,1774.863399999976,1773.863299999982,1775.363799999982,,001,1775.363699999988,23,2025-04-30_21h14.19.501,,,1774.364899999976,,43
﻿Serial_Dependence_U,,1780.577299999982,1780.0725999999938,2,66,001,,4,1778.064099999994,,2025-04-30_21h18.33.942,1782.977599999994,m,,Time,238.09523809622803,1,0.3,SDMT1,1782.977599999994,1781.075599999994,,048844,2,Win32,,,2023.2.3,,19,,1779.067399999976,,1783.9759999999999,152,1,1129,1778.063799999982,048844,1781.075599999994,1780.0725999999938,1781.5759999999998,,001,1781.575899999976,38,2025-04-30_21h14.19.501,,,1780.577299999982,,44
﻿Serial_Dependence_U,,1786.288299999982,1785.784299999982,2,29,001,,4,1783.976799999982,,2025-04-30_21h18.33.942,1788.4279999999999,m,,Time,238.09523809622803,1,0.7,SDMT1,1788.4277999999822,1786.7855,,048844,2,Win32,,,2023.2.3,,19,,1784.9799999999998,,1789.4257999999818,153,0.8,895.3000000119209,1783.9765,048844,1786.7855,1785.784299999982,1787.2839999999999,,001,1787.2839999999999,45,2025-04-30_21h14.19.501,,,1786.2880999999938,,45
﻿Serial_Dependence_U,,1791.9314999999997,1791.430199999988,2,260,001,,3,1789.4263999999762,,2025-04-30_21h18.33.942,1794.1825,m,,Time,238.09523809622803,1,0.7,SDMT1,1794.1822999999822,1792.4308999999762,,048844,2,Win32,,,2023.2.3,,19,,1790.4274999999998,,1795.180799999982,154,1,1009.0999999940395,1789.4260999999938,048844,1792.4308999999762,1791.4300999999941,1792.931,,001,1792.931,47,2025-04-30_21h14.19.501,,,1791.9314999999997,,46
﻿Serial_Dependence_U,,1798.188299999982,1797.6839999999997,2,318,001,,3,1795.181,,2025-04-30_21h18.33.942,1801.0521999999878,m,,Time,238.09523809622803,1,0.7,SDMT1,1801.0519999999997,1798.688099999994,,048844,2,Win32,,,2023.2.3,,19,,1796.1813999999758,,1802.050699999988,155,1.5,1458.0999999940395,1795.1808999999762,048844,1798.688099999994,1797.683899999976,1799.184899999976,,001,1799.184899999976,16,2025-04-30_21h14.19.501,,,1798.1881999999878,,47
﻿Serial_Dependence_U,,1805.0586999999878,1804.5563999999758,2,228,001,,2,1802.0516999999882,,2025-04-30_21h18.33.942,1807.679099999994,m,,Time,238.09523809622803,1,0.3,SDMT1,1807.679099999994,1805.5585,,048844,2,Win32,,,2023.2.3,,19,,1803.0518999999758,,1808.6765,156,1.5,1320.300000011921,1802.051299999982,048844,1805.558599999994,1804.5563999999758,1806.0585,,001,1806.0585,7,2025-04-30_21h14.19.501,,,1805.0586999999878,,48
﻿Serial_Dependence_U,,1811.281599999994,1810.780699999988,2,211,001,,3,1808.6766999999882,,2025-04-30_21h18.33.942,1813.6996999999878,m,,Time,238.09523809622803,1,0.7,SDMT1,1813.699599999994,1811.7788999999761,,048844,2,Win32,,,2023.2.3,,19,,1809.679599999994,,1814.6999999999998,157,1.1,1067.8999999761581,1808.6765999999939,048844,1811.7788999999761,1810.7805999999941,1812.2793999999762,,001,1812.2793999999762,48,2025-04-30_21h14.19.501,,,1811.2815,,49
﻿Serial_Dependence_U,,1817.406,1816.904299999982,2,238,001,,3,1814.7005,,2025-04-30_21h18.33.942,1819.9846999999882,m,,Time,238.09523809622803,1,0.7,SDMT1,1819.9845999999939,1817.9054999999998,,048844,2,Win32,,,2023.2.3,,19,,1815.699899999976,,1820.9826999999877,158,1.2,1189.2999999821186,1814.700399999976,048844,1817.9054999999998,1816.9041999999881,1818.4052999999822,,001,1818.4052999999822,31,2025-04-30_21h14.19.501,,,1817.406,,50
﻿Serial_Dependence_U,,1824.0929999999998,1823.5870999999938,2,175,001,,2,1820.9829999999997,,2025-04-30_21h18.33.942,1826.8601999999878,m,,Time,238.09523809622803,1,0.3,SDMT1,1826.860099999994,1824.5955,,048844,2,Win32,,,2023.2.3,,19,,1821.984799999982,,1827.8576999999877,159,1.6,1436.5,1820.9828999999759,048844,1824.5955,1823.5870999999938,1825.095199999988,,001,1825.095099999994,44,2025-04-30_21h14.19.501,,,1824.092899999976,,51
﻿Serial_Dependence_U,,1830.2661999999877,1829.762899999976,2,343,001,,3,1827.858099999994,,2025-04-30_21h18.33.942,1832.5425999999939,m,,Time,238.09523809622803,1,0.3,SDMT1,1832.5425999999939,1830.766,,048844,2,Win32,,,2023.2.3,,19,,1828.8618999999762,,1833.5406999999877,160,0.9,941.5999999940395,1827.8579999999997,048844,1830.766,1829.762899999976,1831.265199999988,,001,1831.265199999988,19,2025-04-30_21h14.19.501,,,1830.266099999994,,52
﻿Serial_Dependence_U,,1836.453199999988,1835.949099999994,2,99,001,,3,1833.5409999999997,,2025-04-30_21h18.33.942,1839.0115,m,,Time,238.09523809622803,1,0.3,SDMT1,1839.0113999999762,1836.9530999999938,,048844,2,Win32,,,2023.2.3,,19,,1834.544799999982,,1840.011299999982,161,1.4,1387.699999988079,1833.5409999999997,048844,1836.953199999988,1835.949099999994,1837.4528999999761,,001,1837.4528999999761,6,2025-04-30_21h14.19.501,,,1836.453199999988,,53
﻿Serial_Dependence_U,60.927999999999884,1903.7532999999821,1903.251699999988,3,300,001,,2,1900.9471999999878,,2025-04-30_21h18.33.942,1906.2616999999877,m,,Time,238.09523809622803,1,0.3,SDMT1,1906.261599999994,1904.248799999982,,048844,3,Win32,,,2023.2.3,,19,,1901.9494999999997,,1907.2594999999997,162,1.3,1169.9000000059605,1840.0115,048844,1904.248799999982,1903.2515999999941,1904.748899999976,,001,1904.748899999976,5,2025-04-30_21h14.19.501,,,1903.7531999999878,s,0
﻿Serial_Dependence_U,,1910.1679999999997,1909.6655,3,73,001,,2,1907.2605999999937,,2025-04-30_21h18.33.942,1912.780699999988,m,,Time,238.09523809622803,1,0.3,SDMT1,1912.780699999988,1910.6681999999878,,048844,3,Win32,,,2023.2.3,,19,,1908.2641999999878,,1913.780399999976,163,1.4,1282,1907.2596999999878,048844,1910.6681999999878,1909.6655,1911.167799999982,,001,1911.167799999982,42,2025-04-30_21h14.19.501,,,1910.1679999999997,,1
﻿Serial_Dependence_U,,1916.589199999988,1916.0862999999822,3,258,001,,2,1913.780899999976,,2025-04-30_21h18.33.942,1919.2926999999881,m,,Time,238.09523809622803,1,0.7,SDMT1,1919.2925999999939,1917.0885999999941,,048844,3,Win32,,,2023.2.3,,19,,1914.784599999994,,1920.2926999999881,164,1.3,1202.699999988079,1913.7807999999818,048844,1917.0885999999941,1916.086199999988,1917.588399999976,,001,1917.588399999976,50,2025-04-30_21h14.19.501,,,1916.5890999999938,,2
﻿Serial_Dependence_U,,1922.6968999999763,1922.193699999988,3,38,001,,4,1920.2931999999878,,2025-04-30_21h18.33.942,1925.1298999999763,m,,Time,238.09523809622803,1,0.3,SDMT1,1925.129799999982,1923.1969999999997,,048844,3,Win32,,,2023.2.3,,19,,1921.2926999999881,,1926.1310999999941,165,0.9,1113,1920.2929999999997,048844,1923.1969999999997,1922.193699999988,1923.6983999999761,,001,1923.6983999999761,19,2025-04-30_21h14.19.501,,,1922.696799999982,,3
﻿Serial_Dependence_U,,1929.2396999999878,1928.7382999999818,3,314,001,,2,1926.131399999976,,2025-04-30_21h18.33.942,1931.9587999999821,m,,Time,238.09523809622803,1,0.7,SDMT1,1931.9587999999821,1929.7379999999998,,048844,3,Win32,,,2023.2.3,,19,,1927.1358999999761,,1932.9589999999998,166,1.6,1309.9000000059605,1926.1312999999818,048844,1929.7379999999998,1928.738199999988,1930.2382999999818,,001,1930.238199999988,53,2025-04-30_21h14.19.501,,,1929.2396999999878,,4
﻿Serial_Dependence_U,,1935.5671999999881,1935.065299999982,3,128,001,,3,1932.959399999976,,2025-04-30_21h18.33.942,1938.0585,m,,Time,238.09523809622803,1,0.7,SDMT1,1938.0583999999762,1936.0675,,048844,3,Win32,,,2023.2.3,,19,,1933.963399999976,,1939.058899999976,167,1.1,1103.5999999940395,1932.959199999988,048844,1936.067599999994,1935.0651999999882,1936.5671999999881,,001,1936.5671999999881,30,2025-04-30_21h14.19.501,,,1935.5671999999881,,5
﻿Serial_Dependence_U,,1941.472699999988,1940.9668999999762,3,77,001,,1,1939.0592999999822,,2025-04-30_21h18.33.942,1943.0085999999937,m,,Time,238.09523809622803,1,0.3,SDMT1,1943.0085,1941.9711999999881,,048844,3,Win32,,,2023.2.3,,19,,1940.0628999999763,,1944.008699999988,168,0.9,247.2999999821186,1939.059099999994,048844,1941.9711999999881,1940.9668999999762,1942.4707999999819,,001,1942.4707999999819,1,2025-04-30_21h14.19.501,,,1941.472699999988,,6
﻿Serial_Dependence_U,,1947.117099999994,1946.613799999982,3,315,001,,2,1944.0090999999939,,2025-04-30_21h18.33.942,1949.808299999982,m,,Time,238.09523809622803,1,0.7,SDMT1,1949.808299999982,1947.6166999999878,,048844,3,Win32,,,2023.2.3,,19,,1945.012699999988,,1950.8083999999762,169,1.6,1367.4000000059605,1944.0088999999762,048844,1947.6166999999878,1946.613799999982,1948.1166999999878,,001,1948.1166999999878,35,2025-04-30_21h14.19.501,,,1947.117099999994,,7
﻿Serial_Dependence_U,,1953.220699999988,1952.716799999982,3,284,001,,5,1950.8089999999997,,2025-04-30_21h18.33.942,1955.741599999994,m,,Time,238.09523809622803,1,0.7,SDMT1,1955.7415,1953.7207999999819,,048844,3,Win32,,,2023.2.3,,19,,1951.812799999982,,1956.741599999994,170,0.9,1173.5,1950.808799999982,048844,1953.7207999999819,1952.716799999982,1954.220699999988,,001,1954.2205999999937,28,2025-04-30_21h14.19.501,,,1953.2205999999937,,8
﻿Serial_Dependence_U,,1959.2475999999938,1958.7453999999761,3,3,001,,3,1956.7422999999822,,2025-04-30_21h18.33.942,1961.5513999999762,m,,Time,238.09523809622803,1,0.3,SDMT1,1961.551299999982,1959.746899999976,,048844,3,Win32,,,2023.2.3,,19,,1957.7425999999941,,1962.5498999999759,171,1,1048.0999999940395,1956.7419999999997,048844,1959.7469999999998,1958.7453999999761,1960.2475999999938,,001,1960.2475999999938,20,2025-04-30_21h14.19.501,,,1959.2475,,9
