Scale_setup.started,Scale_setup.stopped,participant,session,sex,age,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,screen_scale_keys.started,screen_scale_keys.stopped,X Scale,Y Scale,rectangel_keys.started,rectangel_keys.stopped,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,Block_id,block.stopped,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,M2.started,direction,M2.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
,,885939,001,,,2025-05-19_23h31.05.569,Serial_Dependence_U,2023.2.3,Win32,163.9344262,5fa97379b6ebc411c1a99fff,68224bc8a476e0f1ff0bf7fa,682ba2dc8449665590172124,,,,,,,,,,,,214.8315,0,214.8318,,,,217.7404,218.2368,217.2373,217.7402,215.8313,89,217.2371,218.2368,218.7337,218.7337,220.2856,1425.4,220.2858,3,221.2849,0,8,8,23,1,1.4,0.3,Time
,,885939,001,,,2025-05-19_23h31.05.569,Serial_Dependence_U,2023.2.3,Win32,163.9344262,5fa97379b6ebc411c1a99fff,68224bc8a476e0f1ff0bf7fa,682ba2dc8449665590172124,,,,,,,,,,,,221.2855,0,221.2858,,,,223.5944,224.0907,223.0912,223.5942,222.2854,17,223.0911,224.0908,224.5877,224.5877,225.7635,685.5,225.7638,2,226.7632,0,9,9,15,1,0.8,0.7,Time
,,885939,001,,,2025-05-19_23h31.05.569,Serial_Dependence_U,2023.2.3,Win32,163.9344262,5fa97379b6ebc411c1a99fff,68224bc8a476e0f1ff0bf7fa,682ba2dc8449665590172124,,,,,,,,,,,,226.7638,0,226.7641,,,,229.2768,229.7751,228.7698,229.2766,227.7635,257,228.7695,229.7752,230.2721,230.2722,231.4902,939.9,231.4907,2,232.49,0,10,10,6,1,1,0.7,Time
,,885939,001,,,2025-05-19_23h31.05.569,Serial_Dependence_U,2023.2.3,Win32,163.9344262,5fa97379b6ebc411c1a99fff,68224bc8a476e0f1ff0bf7fa,682ba2dc8449665590172124,,,,,,,,,,,,232.4905,0,232.4907,,,,235.5997,236.0958,235.0966,235.5995,233.4905,352,235.0964,236.0958,236.5927,236.5928,238.0291,1049.2,238.0295,1,239.0288,0,11,11,9,1,1.6,0.7,Time
,,885939,001,,,2025-05-19_23h31.05.569,Serial_Dependence_U,2023.2.3,Win32,163.9344262,5fa97379b6ebc411c1a99fff,68224bc8a476e0f1ff0bf7fa,682ba2dc8449665590172124,,,,,,,,,,,,239.0293,0,239.0294,,,,241.7382,242.2346,241.2352,241.7381,240.0293,185,241.2349,242.2346,242.7316,242.7316,244.5108,1689.7,244.5111,5,245.507,0,12,12,12,1,1.2,0.3,Time
,,885939,001,,,2025-05-19_23h31.05.569,Serial_Dependence_U,2023.2.3,Win32,163.9344262,5fa97379b6ebc411c1a99fff,68224bc8a476e0f1ff0bf7fa,682ba2dc8449665590172124,,,,,,,,,,,,245.5076,0,245.5078,,,,248.6162,249.1129,248.1102,248.6161,246.5076,131,248.1101,249.1129,249.6097,249.6097,251.4076,1369,251.4078,2,252.4034,0,13,13,4,1,1.6,0.3,Time
,,885939,001,,,2025-05-19_23h31.05.569,Serial_Dependence_U,2023.2.3,Win32,163.9344262,5fa97379b6ebc411c1a99fff,68224bc8a476e0f1ff0bf7fa,682ba2dc8449665590172124,,,,,,,,,,,,252.4039,0,252.4041,,,,255.1127,255.6092,254.6098,255.1126,253.4065,290,254.6096,255.6092,256.1062,256.1062,256.5405,107.9,256.5407,1,257.5363,0,14,14,27,1,1.2,0.7,Time
,,885939,001,,,2025-05-19_23h31.05.569,Serial_Dependence_U,2023.2.3,Win32,163.9344262,5fa97379b6ebc411c1a99fff,68224bc8a476e0f1ff0bf7fa,682ba2dc8449665590172124,,,,,,,,,,,,257.5368,0,257.5369,,,,260.6456,261.1421,260.1428,260.6455,258.5396,154,260.1426,261.1421,261.639,261.6391,263.6329,1503.3,263.6333,2,264.6327,0,15,15,14,1,1.6,0.3,Time
,,885939,001,,,2025-05-19_23h31.05.569,Serial_Dependence_U,2023.2.3,Win32,163.9344262,5fa97379b6ebc411c1a99fff,68224bc8a476e0f1ff0bf7fa,682ba2dc8449665590172124,,,,,,,,,,,,264.6332,0,264.6336,,,,267.3421,267.8384,266.8389,267.3419,265.6331,344,266.8387,267.8384,268.3353,268.3354,269.9509,1271.4,269.9511,4,270.9473,0,16,16,2,1,1.2,0.3,Time
,,885939,001,,,2025-05-19_23h31.05.569,Serial_Dependence_U,2023.2.3,Win32,163.9344262,5fa97379b6ebc411c1a99fff,68224bc8a476e0f1ff0bf7fa,682ba2dc8449665590172124,,,,,,,,,,,,270.9477,0,270.9479,,,,273.8567,274.353,273.3536,273.8565,271.9479,175,273.3534,274.353,274.85,274.85,276.4355,1181.2,276.4357,2,277.4316,0,17,17,28,1,1.4,0.7,Time
,,885939,001,,,2025-05-19_23h31.05.569,Serial_Dependence_U,2023.2.3,Win32,163.9344262,5fa97379b6ebc411c1a99fff,68224bc8a476e0f1ff0bf7fa,682ba2dc8449665590172124,,,,,,,,,,,,277.4321,0,277.4324,,,,280.141,280.6374,279.6379,280.1408,278.432,90,279.6376,280.6374,281.1344,281.1345,282.4353,921.4,282.4355,2,283.431,0,18,18,7,1,1.2,0.7,Time
,,885939,001,,,2025-05-19_23h31.05.569,Serial_Dependence_U,2023.2.3,Win32,163.9344262,5fa97379b6ebc411c1a99fff,68224bc8a476e0f1ff0bf7fa,682ba2dc8449665590172124,,,,,,,,,,,,283.4315,0,283.4318,,,,286.1406,286.6369,285.6377,286.1403,284.4314,307,285.6373,286.6369,287.1338,287.1338,288.4733,1036.8,288.4737,2,289.473,0,19,19,22,1,1.2,0.3,Time
